date,state,district,bio_age_5_17,bio_age_17_plus
01-03-2025,Andaman & Nicobar Islands,Andamans,16,193
01-03-2025,Andaman and Nicobar Islands,Nicobar,178,101
01-03-2025,Andaman and Nicobar Islands,North And Middle Andaman,470,347
01-03-2025,Andaman and Nicobar Islands,South Andaman,948,450
01-03-2025,Andhra Pradesh,Adilabad,897,4366
01-03-2025,Andhra Pradesh,Alluri Sitharama Raju,585,1408
01-03-2025,Andhra Pradesh,Anakapalli,218,234
01-03-2025,Andhra Pradesh,Anantapur,3363,6499
01-03-2025,Andhra Pradesh,Ananthapur,11722,2215
01-03-2025,Andhra Pradesh,Ananthapuramu,14063,2087
01-03-2025,Andhra Pradesh,Annamayya,235,270
01-03-2025,Andhra Pradesh,Bapatla,114,131
01-03-2025,Andhra Pradesh,Chittoor,18773,9414
01-03-2025,Andhra Pradesh,Cuddapah,11599,5222
01-03-2025,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,116,181
01-03-2025,Andhra Pradesh,East Godavari,18286,11512
01-03-2025,Andhra Pradesh,Eluru,171,308
01-03-2025,Andhra Pradesh,Guntur,19655,11604
01-03-2025,Andhra Pradesh,Hyderabad,2070,9936
01-03-2025,Andhra Pradesh,K.v. Rangareddy,11,6
01-03-2025,Andhra Pradesh,Kakinada,203,317
01-03-2025,Andhra Pradesh,Karim Nagar,26,117
01-03-2025,Andhra Pradesh,Karimnagar,269,1150
01-03-2025,Andhra Pradesh,Khammam,1070,2855
01-03-2025,Andhra Pradesh,Krishna,16816,9887
01-03-2025,Andhra Pradesh,Kurnool,27662,10576
01-03-2025,Andhra Pradesh,Mahabub Nagar,45,269
01-03-2025,Andhra Pradesh,Mahbubnagar,274,1114
01-03-2025,Andhra Pradesh,Medak,421,1488
01-03-2025,Andhra Pradesh,N. T. R,380,740
01-03-2025,Andhra Pradesh,Nalgonda,292,1601
01-03-2025,Andhra Pradesh,Nandyal,283,280
01-03-2025,Andhra Pradesh,Nellore,5113,6240
01-03-2025,Andhra Pradesh,Nizamabad,233,677
01-03-2025,Andhra Pradesh,Palnadu,293,311
01-03-2025,Andhra Pradesh,Parvathipuram Manyam,362,487
01-03-2025,Andhra Pradesh,Prakasam,11991,7242
01-03-2025,Andhra Pradesh,Rangareddi,1114,5136
01-03-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,110,172
01-03-2025,Andhra Pradesh,Sri Sathya Sai,738,463
01-03-2025,Andhra Pradesh,Srikakulam,22984,6997
01-03-2025,Andhra Pradesh,Tirupati,268,382
01-03-2025,Andhra Pradesh,Visakhapatnam,21850,15143
01-03-2025,Andhra Pradesh,Vizianagaram,11966,6473
01-03-2025,Andhra Pradesh,Warangal,1215,4034
