date,state,district,demo_age_5_17,demo_age_17_plus
01-03-2025,Andaman and Nicobar Islands,Nicobar,32,360
01-03-2025,Andaman and Nicobar Islands,North And Middle Andaman,20,402
01-03-2025,Andaman and Nicobar Islands,South Andaman,74,450
01-03-2025,Andhra Pradesh,Adilabad,390,3950
01-03-2025,Andhra Pradesh,Alluri Sitharama Raju,507,4448
01-03-2025,Andhra Pradesh,Anakapalli,373,2791
01-03-2025,Andhra Pradesh,Anantapur,953,19013
01-03-2025,Andhra Pradesh,Ananthapur,2020,7310
01-03-2025,Andhra Pradesh,Ananthapuramu,2547,7891
01-03-2025,Andhra Pradesh,Annamayya,526,3272
01-03-2025,Andhra Pradesh,Bapatla,232,1653
01-03-2025,Andhra Pradesh,Chittoor,4070,38298
01-03-2025,Andhra Pradesh,Cuddapah,1786,16961
01-03-2025,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,240,2136
01-03-2025,Andhra Pradesh,East Godavari,3391,37620
01-03-2025,Andhra Pradesh,Eluru,283,2536
01-03-2025,Andhra Pradesh,Guntur,3060,40302
01-03-2025,Andhra Pradesh,Hyderabad,695,6045
01-03-2025,Andhra Pradesh,Kakinada,638,4748
01-03-2025,Andhra Pradesh,Karimnagar,93,766
01-03-2025,Andhra Pradesh,Khammam,431,4962
01-03-2025,Andhra Pradesh,Krishna,1711,21831
01-03-2025,Andhra Pradesh,Kurnool,3650,31715
01-03-2025,Andhra Pradesh,Mahabub Nagar,26,184
01-03-2025,Andhra Pradesh,Mahbubnagar,169,1133
01-03-2025,Andhra Pradesh,Medak,215,1387
01-03-2025,Andhra Pradesh,N. T. R,775,6936
01-03-2025,Andhra Pradesh,Nalgonda,146,2240
01-03-2025,Andhra Pradesh,Nandyal,339,2135
01-03-2025,Andhra Pradesh,Nellore,944,16115
01-03-2025,Andhra Pradesh,Nizamabad,53,476
01-03-2025,Andhra Pradesh,Palnadu,323,2765
01-03-2025,Andhra Pradesh,Parvathipuram Manyam,201,1664
01-03-2025,Andhra Pradesh,Prakasam,2116,27970
01-03-2025,Andhra Pradesh,Rangareddi,463,3060
01-03-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,392,2890
01-03-2025,Andhra Pradesh,Sri Sathya Sai,535,2386
01-03-2025,Andhra Pradesh,Srikakulam,5275,37687
01-03-2025,Andhra Pradesh,Tirupati,478,4139
01-03-2025,Andhra Pradesh,Visakhapatnam,3222,36984
01-03-2025,Andhra Pradesh,Vizianagaram,2141,20324
01-03-2025,Andhra Pradesh,Warangal,728,6167
01-03-2025,Andhra Pradesh,West Godavari,2189,27673
01-03-2025,Andhra Pradesh,Y. S. R,274,1877
01-03-2025,Arunachal Pradesh,Anjaw,24,210
01-03-2025,Arunachal Pradesh,Changlang,73,1120
01-03-2025,Arunachal Pradesh,East Siang,19,151
01-03-2025,Arunachal Pradesh,Kra Daadi,26,105
01-03-2025,Arunachal Pradesh,Lohit,30,234
01-03-2025,Arunachal Pradesh,Longding,45,285
01-03-2025,Arunachal Pradesh,Lower Dibang Valley,36,249
01-03-2025,Arunachal Pradesh,Lower Siang,22,66
01-03-2025,Arunachal Pradesh,Lower Subansiri,41,280
01-03-2025,Arunachal Pradesh,Namsai,50,553
01-03-2025,Arunachal Pradesh,Papum Pare,163,1311
01-03-2025,Arunachal Pradesh,Siang,25,159
01-03-2025,Arunachal Pradesh,Tawang,27,117
01-03-2025,Arunachal Pradesh,Tirap,18,235
01-03-2025,Arunachal Pradesh,Upper Siang,12,40
01-03-2025,Arunachal Pradesh,Upper Subansiri,106,570
01-03-2025,Arunachal Pradesh,West Kameng,25,116
01-03-2025,Arunachal Pradesh,West Siang,110,1156
01-03-2025,Assam,Baksa,397,4438
01-03-2025,Assam,Barpeta,821,9181
01-03-2025,Assam,Biswanath,227,2732
01-03-2025,Assam,Bongaigaon,699,8681
01-03-2025,Assam,Cachar,1234,10000
01-03-2025,Assam,Charaideo,145,1953
01-03-2025,Assam,Chirang,179,1711
01-03-2025,Assam,Darrang,661,5819
01-03-2025,Assam,Dhemaji,534,5979
01-03-2025,Assam,Dhubri,1070,10824
01-03-2025,Assam,Dibrugarh,338,5542
01-03-2025,Assam,Goalpara,768,6461
01-03-2025,Assam,Golaghat,587,8416
01-03-2025,Assam,Hailakandi,211,1822
01-03-2025,Assam,Hojai,319,3439
01-03-2025,Assam,Jorhat,320,5231
01-03-2025,Assam,Kamrup,319,5222
01-03-2025,Assam,Kamrup Metro,579,5320
01-03-2025,Assam,Karbi Anglong,675,6192
01-03-2025,Assam,Karimganj,567,5374
01-03-2025,Assam,Kokrajhar,538,3272
01-03-2025,Assam,Lakhimpur,577,9766
01-03-2025,Assam,Majuli,55,569
01-03-2025,Assam,Marigaon,1006,7948
01-03-2025,Assam,Nagaon,1216,16723
01-03-2025,Assam,Nalbari,509,4658
01-03-2025,Assam,North Cachar Hills,74,648
01-03-2025,Assam,Sibsagar,146,1460
01-03-2025,Assam,Sonitpur,802,9796
01-03-2025,Assam,South Salmara Mankachar,197,3153
01-03-2025,Assam,Tinsukia,499,7786
01-03-2025,Assam,Udalguri,367,4869
01-03-2025,Assam,West Karbi Anglong,56,360
01-03-2025,Bihar,Araria,2774,32707
01-03-2025,Bihar,Arwal,558,5961
01-03-2025,Bihar,Aurangabad,2788,23698
01-03-2025,Bihar,Banka,2100,23353
01-03-2025,Bihar,Begusarai,3601,28482
01-03-2025,Bihar,Bhagalpur,4949,37353
01-03-2025,Bihar,Bhojpur,2688,29327
01-03-2025,Bihar,Buxar,1661,18351
01-03-2025,Bihar,Darbhanga,2612,28474
01-03-2025,Bihar,East Champaran,4175,47030
01-03-2025,Bihar,Gaya,5828,49924
01-03-2025,Bihar,Gopalganj,2129,22709
01-03-2025,Bihar,Jamui,1393,15286
01-03-2025,Bihar,Jehanabad,988,8898
01-03-2025,Bihar,Kaimur (Bhabua),847,8728
01-03-2025,Bihar,Katihar,2845,33082
01-03-2025,Bihar,Khagaria,1450,12708
01-03-2025,Bihar,Kishanganj,1811,25016
01-03-2025,Bihar,Lakhisarai,777,7918
01-03-2025,Bihar,Madhepura,1283,17649
01-03-2025,Bihar,Madhubani,3407,41495
01-03-2025,Bihar,Munger,992,13363
01-03-2025,Bihar,Muzaffarpur,4456,42818
01-03-2025,Bihar,Nalanda,2310,21564
01-03-2025,Bihar,Nawada,1429,16428
01-03-2025,Bihar,Patna,4807,41971
01-03-2025,Bihar,Purnia,2194,26114
01-03-2025,Bihar,Rohtas,2121,19596
01-03-2025,Bihar,Saharsa,1584,18727
01-03-2025,Bihar,Samastipur,4382,44385
01-03-2025,Bihar,Saran,3695,41077
01-03-2025,Bihar,Sheikhpura,490,5055
01-03-2025,Bihar,Sheohar,778,7797
01-03-2025,Bihar,Sitamarhi,3044,36696
01-03-2025,Bihar,Siwan,2637,26684
01-03-2025,Bihar,Supaul,1661,29320
01-03-2025,Bihar,Vaishali,3660,39009
01-03-2025,Bihar,West Champaran,4317,42725
01-03-2025,Chandigarh,Chandigarh,1296,8949
01-03-2025,Chhattisgarh,Balod,827,10913
01-03-2025,Chhattisgarh,Baloda Bazar,369,16044
01-03-2025,Chhattisgarh,Balrampur,392,4458
01-03-2025,Chhattisgarh,Bastar,878,10394
01-03-2025,Chhattisgarh,Bemetara,354,10548
01-03-2025,Chhattisgarh,Bijapur,294,3385
01-03-2025,Chhattisgarh,Bilaspur,1066,19431
01-03-2025,Chhattisgarh,Dakshin Bastar Dantewada,364,771
01-03-2025,Chhattisgarh,Dantewada,162,243
01-03-2025,Chhattisgarh,Dhamtari,382,10273
01-03-2025,Chhattisgarh,Durg,1512,10144
01-03-2025,Chhattisgarh,Gariyaband,122,5062
01-03-2025,Chhattisgarh,Gaurela-pendra-marwahi,79,773
01-03-2025,Chhattisgarh,Janjgir-champa,1438,30658
01-03-2025,Chhattisgarh,Jashpur,1352,6992
01-03-2025,Chhattisgarh,Kabeerdham,215,3840
01-03-2025,Chhattisgarh,Kanker,558,4198
01-03-2025,Chhattisgarh,Kawardha,637,17645
01-03-2025,Chhattisgarh,Kondagaon,114,1192
01-03-2025,Chhattisgarh,Korba,223,4727
01-03-2025,Chhattisgarh,Koriya,413,3746
01-03-2025,Chhattisgarh,Mahasamund,309,3131
01-03-2025,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,14,54
01-03-2025,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,99,611
01-03-2025,Chhattisgarh,Mungeli,278,15373
01-03-2025,Chhattisgarh,Narayanpur,358,1920
01-03-2025,Chhattisgarh,Raigarh,1833,19707
01-03-2025,Chhattisgarh,Raipur,1175,20034
01-03-2025,Chhattisgarh,Rajnandgaon,886,24246
01-03-2025,Chhattisgarh,Sakti,99,789
01-03-2025,Chhattisgarh,Sukma,260,1427
01-03-2025,Chhattisgarh,Surajpur,570,7642
01-03-2025,Chhattisgarh,Surguja,939,11184
01-03-2025,Chhattisgarh,Uttar Bastar Kanker,128,1212
01-03-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,49,593
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,34,572
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,35,156
01-03-2025,Daman and Diu,Daman,18,186
01-03-2025,Delhi,Central Delhi,1049,12943
01-03-2025,Delhi,East Delhi,1926,16285
01-03-2025,Delhi,New Delhi,252,1390
01-03-2025,Delhi,North Delhi,965,11456
01-03-2025,Delhi,North East,23,2908
01-03-2025,Delhi,North East Delhi,2275,15592
01-03-2025,Delhi,North West Delhi,6373,62825
