date,state,district,age_0_5,age_5_17,age_18_greater
01-04-2025,Assam,Baksa,408,483,187
01-04-2025,Assam,Barpeta,138,54,23
01-04-2025,Assam,Biswanath,104,114,32
01-04-2025,Assam,Bongaigaon,221,87,61
01-04-2025,Assam,Cachar,988,461,299
01-04-2025,Assam,Charaideo,91,50,164
01-04-2025,Assam,Chirang,189,199,179
01-04-2025,Assam,Darrang,654,340,270
01-04-2025,Assam,Dhemaji,179,176,52
01-04-2025,Assam,Dhubri,998,654,80
01-04-2025,Assam,Dibrugarh,179,149,186
01-04-2025,Assam,Goalpara,587,294,283
01-04-2025,Assam,Golaghat,568,501,144
01-04-2025,Assam,Hailakandi,242,143,78
01-04-2025,Assam,Hojai,763,253,100
01-04-2025,Assam,Jorhat,210,156,154
01-04-2025,Assam,Kamrup,741,404,179
01-04-2025,Assam,Kamrup Metro,276,396,213
01-04-2025,Assam,Karbi Anglong,543,1030,323
01-04-2025,Assam,Karimganj,508,426,91
01-04-2025,Assam,Kokrajhar,301,238,25
01-04-2025,Assam,Lakhimpur,400,221,93
01-04-2025,Assam,Marigaon,540,457,96
01-04-2025,Assam,Nagaon,504,236,36
01-04-2025,Assam,Nalbari,55,49,77
01-04-2025,Assam,North Cachar Hills,130,179,99
01-04-2025,Assam,Sibsagar,220,83,276
01-04-2025,Assam,Sonitpur,138,169,65
01-04-2025,Assam,South Salmara Mankachar,176,102,30
01-04-2025,Assam,Tinsukia,339,391,261
01-04-2025,Assam,Udalguri,447,364,319
01-04-2025,Assam,West Karbi Anglong,94,344,45
01-04-2025,Bihar,Bhagalpur,678,534,26
01-04-2025,Bihar,East Champaran,1528,2371,153
01-04-2025,Bihar,Gaya,437,1371,54
01-04-2025,Bihar,Jamui,1015,647,30
01-04-2025,Bihar,Jehanabad,78,292,48
01-04-2025,Bihar,Kaimur (Bhabua),146,199,12
01-04-2025,Bihar,Madhubani,388,485,60
01-04-2025,Bihar,Munger,191,278,22
01-04-2025,Bihar,Muzaffarpur,1159,865,65
01-04-2025,Bihar,Patna,723,2303,373
01-04-2025,Bihar,Purnia,517,276,21
01-04-2025,Bihar,Saran,143,174,10
01-04-2025,Bihar,Sitamarhi,2452,1625,487
